web-scraper-order ,web-scraper-start-url                          ,constituent_link                     ,constituent_link-href                                               ,Formerly                                                                                                                                                                                                                                                                                                      ,Company type                   ,Company type-href                                      ,Traded as                                                                                                                                                                                                                                                                                                                               ,ISIN                                                                            ,Industry                ,Founded                                                                                                                                                                                                                                                                                                                                                                                                    ,Founder                                                           ,Headquarters                                                                             ,Key people                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Services                                                                                                                                                                                                                                                                                                                                                                                              ,Operating income               ,Net income                     ,AUM                           ,Number of employees      ,Website
"1727695417-56"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"HSBC"                               ,"https://en.wikipedia.org/wiki/HSBC"                                ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public"                       ,"https://en.wikipedia.org/wiki/Public_limited_company" ,"[{""Traded as"":""LSE: HSBA""},{""Traded as"":""SEHK: 5""},{""Traded as"":""NYSE: HSBC""},{""Traded as"":""BSX: HSBC.BH""},{""Traded as"":""FTSE 100 component (HSBA)""},{""Traded as"":""Hang Seng component (5)""}]"                                                                                                                 ,"[update]"                                                                      ,"Financial services"    ,"First established on 3 March 1865; 159 years ago (1865-03-03) in British Hong Kong[1] (as The Hongkong and Shanghai Bank)First incorporated on 14 August 1866; 158 years ago (1866-08-14)[2] (as The Hongkong and Shanghai Banking Corporation)25 March 1991; 33 years ago (1991-03-25)[1][3] in London (as HSBC Holdings plc, as parent holding company to the entity in Hong Kong now as a subsidiary)" ,"Sir Thomas Sutherland"                                           ,"8 Canada Square
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       London, England, UK"                                                                     ,"[{""Key people"":""Sir Mark Tucker\n(Group Chairman)""},{""Key people"":""Georges Elhedery\n(Group Chief Executive)""}]"                                                                                                                                                                                                                                                                                                                                                                                                         ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"US$30.348 billion (2023)[4]"  ,"US$24.559 billion (2023)[4]"  ,""                            ,"221,000 (2024)[5]"      ,"hsbc.com"
"1727695420-57"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Howdens Joinery"                    ,"https://en.wikipedia.org/wiki/Howdens_Joinery"                     ,"[{""Formerly"":""Maxirace Limited (May–December 1987)""},{""Formerly"":""MFI Furniture Group Plc (1987–2006)""},{""Formerly"":""Galiform Plc (2006–2010)[1][2]""}]"                                                                                                                                          ,""                             ,""                                                     ,"[{""Traded as"":""LSE: HWDN""},{""Traded as"":""FTSE 100 component""}]"                                                                                                                                                                                                                                                                ,""                                                                              ,"Furniture"             ,"1995"                                                                                                                                                                                                                                                                                                                                                                                                     ,"Matthew Ingle"                                                   ,"London, England, UK"                                                                    ,"[{""Key people"":""Peter Ventress, (Chairman)""},{""Key people"":""Andrew Livingston, (CEO)""}]"                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"£340.2 million (2023)[3]"     ,"£254.6 million (2023)[3]"     ,""                            ,""                       ,"howdenjoinerygroupplc.com"
"1727695422-58"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Hiscox"                             ,"https://en.wikipedia.org/wiki/Hiscox"                              ,"[]"                                                                                                                                                                                                                                                                                                          ,""                             ,""                                                     ,"[]"                                                                                                                                                                                                                                                                                                                                    ,""                                                                              ,""                      ,"1901"                                                                                                                                                                                                                                                                                                                                                                                                     ,""                                                                ,"Hamilton, Bermuda"                                                                      ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"£675.9 million (2023)[1]"     ,"£712.0 million (2023)[1]"     ,""                            ,""                       ,"hiscoxgroup.com"
"1727695424-59"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Hikma Pharmaceuticals"              ,"https://en.wikipedia.org/wiki/Hikma_Pharmaceuticals"               ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public"                       ,"https://en.wikipedia.org/wiki/Public_limited_company" ,"[]"                                                                                                                                                                                                                                                                                                                                    ,""                                                                              ,"Pharmaceutical"        ,"1978; 46 years ago (1978)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Jordan"                                                                                                                                                                                                                                                                                                                                                                                                    ,"Samih Darwazah"                                                  ,"London, England, UK"                                                                    ,"[{""Key people"":""Said Darwazah (chair­person)""},{""Key people"":""Said Darwazah (CEO)""}]"                                                                                                                                                                                                                                                                                                                                                                                                                                    ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"US$707 million (2023)[1]"     ,"US$192 million (2023)[1]"     ,""                            ,"8,800 (2024)[2]"        ,"www.hikma.com"
"1727695426-60"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Hargreaves Lansdown"                ,"https://en.wikipedia.org/wiki/Hargreaves_Lansdown"                 ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public limited company"       ,"https://en.wikipedia.org/wiki/Public_limited_company" ,"[]"                                                                                                                                                                                                                                                                                                                                    ,""                                                                              ,"Financial services"    ,"1 July 1981; 43 years ago (1 July 1981)"                                                                                                                                                                                                                                                                                                                                                                  ,"Peter HargreavesStephen Lansdown"                                ,""                                                                                       ,"[{""Key people"":""Peter Hargreaves""},{""Key people"":""Stephen Lansdown""},{""Key people"":""Alison Platt (chair­person)""},{""Key people"":""Dan Olley (chief executive)""}]"                                                                                                                                                                                                                                                                                                                                                 ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"£384.4 million (2023)[1]"     ,"£323.7 million (2023)[1]"     ,""                            ,"c. 2,000 (2024)[2]"     ,"hl.co.uk"
"1727695428-61"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Halma plc"                          ,"https://en.wikipedia.org/wiki/Halma_plc"                           ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public limited company"       ,"https://en.wikipedia.org/wiki/Public_limited_company" ,"[]"                                                                                                                                                                                                                                                                                                                                    ,"expanding it"                                                                  ,"Technology"            ,"1894; 130 years ago (1894)"                                                                                                                                                                                                                                                                                                                                                                               ,""                                                                ,"Amersham, England, UK"                                                                  ,"[{""Key people"":""Louise Makin (Chair)""},{""Key people"":""Andrew Williams (CEO)""}]"                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"£378.2 million (2023)[1]"     ,"£234.3 million (2023)[1]"     ,""                            ,"7,000 (2024)[2]"        ,"www.halma.com"
"1727695430-62"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Haleon"                             ,"https://en.wikipedia.org/wiki/Haleon"                              ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public limited company"       ,"https://en.wikipedia.org/wiki/Public_limited_company" ,"[]"                                                                                                                                                                                                                                                                                                                                    ,""                                                                              ,"Healthcare"            ,"18 July 2022; 2 years ago (2022-07-18)"                                                                                                                                                                                                                                                                                                                                                                   ,""                                                                ,"Weybridge, England, United Kingdom"                                                     ,"[{""Key people"":""Dave Lewis (Chairman)""},{""Key people"":""Brian McNamara (CEO)""}]"                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"[{""Services"":""Healthcare""},{""Services"":""Consumer goods""}]"                                                                                                                                                                                                                                                                                                                                   ,"£1,996 million (2023)[1]"     ,"£1,111 million (2023)[1]"     ,""                            ,"24,000 (2023)[2]"       ,"www.haleon.com"
"1727695432-63"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"GSK plc"                            ,"https://en.wikipedia.org/wiki/GSK_plc"                             ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public limited company"       ,"https://en.wikipedia.org/wiki/Public_limited_company" ,"[]"                                                                                                                                                                                                                                                                                                                                    ,"51°29′17″N 0°19′1″W﻿ / ﻿51.48806°N 0.31694°W﻿ / 51.48806; -0.31694"               ,"Pharmaceutical"        ,"27 December 2000; 23 years ago (2000-12-27)"                                                                                                                                                                                                                                                                                                                                                              ,""                                                                ,"London, England, UK"                                                                    ,"[{""Key people"":""Jonathan Symonds (Chairperson)""},{""Key people"":""Emma Walmsley (CEO)""}]"                                                                                                                                                                                                                                                                                                                                                                                                                                  ,"[{""Services"":""Pharmaceutical""},{""Services"":""Biotechnology""}]"                                                                                                                                                                                                                                                                                                                                ,"£6.745 billion  (2023)[1]"    ,"£5.308 billion (2023)[1]"     ,""                            ,"70,000 (2024)[2]"       ,"www.gsk.com"
"1727695434-64"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Glencore"                           ,"https://en.wikipedia.org/wiki/Glencore"                            ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public limited company"       ,"https://en.wikipedia.org/wiki/Public_limited_company" ,"[]"                                                                                                                                                                                                                                                                                                                                    ,"[update]"                                                                      ,"Commodities"           ,"1974; 50 years ago (1974)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        (as Marc Rich + Co AG)"                                                                                                                                                                                                                                                                                                                                                                                    ,"Marc Rich"                                                       ,"Baar, Switzerland
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       (headquarters)London, United Kingdom
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       (head office – oil & gas)Rotterdam, Netherlands
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       (head office – agricultural products)Saint Helier, Jersey
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       (registered office)"                                                                     ,"[{""Key people"":""Gary Nagle (CEO)""}]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"US$7.317 billion (2023)[1]"   ,"US$3.210 billion (2023)[1]"   ,""                            ,"140,000 (2024)[3]"      ,"glencore.com"
"1727695436-65"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Fresnillo plc"                      ,"https://en.wikipedia.org/wiki/Fresnillo_plc"                       ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public limited company"       ,"https://en.wikipedia.org/wiki/Public_limited_company" ,"[]"                                                                                                                                                                                                                                                                                                                                    ,""                                                                              ,""                      ,"2008; 16 years ago (2008)"                                                                                                                                                                                                                                                                                                                                                                                ,""                                                                ,"London, United Kingdom (registered office)Mexico City, Mexico (corporate headquarters)" ,"[{""Key people"":""Alberto Baillères (chair­person)""},{""Key people"":""Octavio Alvídrez (CEO)""}]"                                                                                                                                                                                                                                                                                                                                                                                                                             ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"US$142.5 million (2023)[1]"   ,"US$288.3 million (2023)[1]"   ,""                            ,""                       ,"www.fresnilloplc.com"
"1727695439-66"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Frasers Group"                      ,"https://en.wikipedia.org/wiki/Frasers_Group"                       ,"[{""Formerly"":""Sports Direct International Limited (2006–2007)[1]""},{""Formerly"":""Sports Direct International plc (2007–2019)[1]""},{""Formerly"":""Sports Soccer Limited (1997–2003)[7]""},{""Formerly"":""Sports World International Limited (2003–2008)[7]""}]"                                      ,"Public"                       ,"https://en.wikipedia.org/wiki/Public_limited_company" ,"[{""Traded as"":""LSE: FRAS""},{""Traded as"":""FTSE 100 component""}]"                                                                                                                                                                                                                                                                ,""                                                                              ,"Retail"                ,"1982; 42 years ago (1982)"                                                                                                                                                                                                                                                                                                                                                                                ,"Mike Ashley"                                                     ,"Shirebrook, England, UK[1]"                                                             ,"[{""Key people"":""David Daly (chairman)""},{""Key people"":""Michael Murray (CEO)""},{""Key people"":""David Al-Mudallal (COO)""}]"                                                                                                                                                                                                                                                                                                                                                                                             ,"[{""Services"":""Retail""},{""Services"":""Textile""},{""Services"":""Sports equipment""},{""Services"":""Footwear""},{""Services"":""Cosmetics""},{""Services"":""Electronics""},{""Services"":""Frasers Plus""},{""Services"":""Studio Pay""}]"                                                                                                                                                    ,"£531.8 million  (2023)[2]"    ,"£501.3 million (2023)[2]"     ,""                            ,"30,000 (2024)[3]"       ,"frasers.group"
"1727695441-67"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"F & C Investment Trust"             ,"https://en.wikipedia.org/wiki/F_%26_C_Investment_Trust"            ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public"                       ,"https://en.wikipedia.org/wiki/Public_company"         ,"[]"                                                                                                                                                                                                                                                                                                                                    ,""                                                                              ,"Investment management" ,"1868; 156 years ago (1868)"                                                                                                                                                                                                                                                                                                                                                                               ,""                                                                ,"London, England"                                                                        ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"£96.2 million (2023)[1]"      ,"£81.7 million (2023)[1]"      ,""                            ,""                       ,"www.foreignandcolonial.com"
"1727695443-68"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Experian"                           ,"https://en.wikipedia.org/wiki/Experian"                            ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public limited company"       ,"https://en.wikipedia.org/wiki/Public_limited_company" ,"[]"                                                                                                                                                                                                                                                                                                                                    ,""                                                                              ,""                      ,"1996; 28 years ago (1996)"                                                                                                                                                                                                                                                                                                                                                                                ,""                                                                ,"Dublin, Ireland[1][2]"                                                                  ,"[{""Key people"":""Mike Rogers (chair­person)""},{""Key people"":""Brian Cassin (CEO)""}]"                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"US$1.793 billion (FY2023)[3]" ,"US$0.773 billion (FY2023)[3]" ,""                            ,"21,700 (2024)[4]"       ,"www.experian.com"
"1727695445-69"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"EasyJet"                            ,"https://en.wikipedia.org/wiki/EasyJet"                             ,"[]"                                                                                                                                                                                                                                                                                                          ,""                             ,""                                                     ,"[{""Traded as"":""Belfast–International""},{""Traded as"":""Birmingham""},{""Traded as"":""Bristol""},{""Traded as"":""Edinburgh""},{""Traded as"":""Glasgow""},{""Traded as"":""Liverpool""},{""Traded as"":""London–Gatwick""},{""Traded as"":""London–Luton""},{""Traded as"":""London–Southend""},{""Traded as"":""Manchester""}]" ,"[update]"                                                                      ,""                      ,"1995; 29 years ago (1995)"                                                                                                                                                                                                                                                                                                                                                                                ,"Sir Stelios Haji-Ioannou"                                        ,"Hangar 89, London Luton Airport, Luton, England, United Kingdom"                        ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"£476 million (2023)[3]"       ,"£324 million (2023)[3]"       ,""                            ,""                       ,"www.easyjet.com"
